Name,Project,Arrangement,Organization,Theme,Year,Periodicity,Requested,Delivered,Established
(Particulier),project meiden van de toekomst,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 2.985,€ 480,€ 480
(Particulier),Buurtkrant Vogelbuurt/IJplein,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 2.990,€ 2.100,€ 2.100
(Particulier),"Pleater, meespeeltheater voor kinderen",Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 4.500,€ 2.250,€ 2.250
(Particulier),Soos Stephanus,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 2.820,€ 2.820,€ 2.820
(Particulier),Paasmarkt en planten actie,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 5.700,€ 1.000,€ 1.000
(Particulier),3 Activititen stichting de start,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 6.490,€ 5.518,
(Particulier),Speelmiddagen in Molenwijk,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 675,€ 675,€ 675
(Particulier),Bewonersinitiatief,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 3.000,€ 2.200,€ 2.200
(Particulier),Bingomiddag voor ouderen,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.400,€ 600,€ 600
(Particulier),weggeefwinkel bloemenbuurt,Subsidieregeling maatschappelijk initiatief stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.870,€ 1.870,€ 1.870
(Particulier),De kale betonnen bollen met mozaiek motief zichtbaar maken en opvrolijken,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 3.995,€ 0,€ 0
(Particulier),in stand houden van een zangkoor,Subsidieregeling bewonersinitiatieven Stadsdeel Noord,stadsdeel Noord,Welzijn en Zorg,2017,Eenmalig,€ 1.262,€ 1.262,€ 1.262
